X,Y,Z,Porosity,Sequence
40800,57800,-585.29,42.1,m58
40800,57800,-586.65,43,m58
40800,57800,-588.65,42.7,m58
40800,57800,-590.07,41.7,m58
40800,57800,-590.91,43.6,m58
40800,57800,-592.25,42,m58
40800,57800,-592.36,45.3,m58
40800,57800,-593.66,42,m58
40800,57800,-594.75,39.8,m58
40800,57800,-596.14,39.9,m58
40800,57800,-596.95,38.7,m58
40800,57800,-599.22,38.6,m58
40800,57800,-600.04,36.1,m58
40800,57800,-604.77,45.5,m58
40800,57800,-606.12,43,m58
40800,57800,-607.77,44.1,m58
40800,57800,-608.82,54.3,m58
40800,57800,-610.02,45.4,m58
40800,57800,-611.16,21.6,m58
40800,57800,-612.83,38.9,m58
40800,57800,-613.97,43.5,m58
40800,57800,-615.43,40.8,m58
40800,57800,-617.24,52.5,m58
40800,57800,-618.6,39,m58
40800,57800,-620.18,23.2,m58
40800,57800,-626.18,36.9,m58
40800,57800,-627.49,44.6,m58
40800,57800,-628.8,39.9,m58
40800,57800,-629.22,44.1,m58
40800,57800,-630.53,41.1,m58
40800,57800,-631.64,40.7,m58
40800,57800,-632.15,43.6,m58
40800,57800,-633.45,42.6,m58
40800,57800,-634.74,61.6,m58
40800,57800,-635.3,59.4,m58
40800,57800,-636.83,15,m58
40800,57800,-638.85,39.7,m58
40800,57800,-640,40.2,m58
40800,57800,-641.39,43.2,m58
40800,57800,-642.87,41,m58
40800,57800,-644.71,39.8,m58
40800,57800,-647.04,44.7,m58
40800,57800,-647.47,45.2,m58
40800,57800,-648.78,43.7,m58
40800,57800,-650.88,41.4,m58
40800,57800,-651.75,16.8,m58
40800,57800,-653.14,19.8,m58
40800,57800,-653.95,19.7,m58
40800,57800,-655.56,18.7,m58
40800,57800,-657,16,m58
40800,57800,-658.14,18.3,m58
40800,57800,-658.95,15.6,m58
40800,57800,-660.06,39.5,m58
40800,57800,-661.2,30.6,m58
40800,57800,-662.47,41.7,m58
40800,57800,-664.01,38.8,m6
40800,57800,-665.86,47.6,m6
40800,57800,-667.15,49.6,m6
40800,57800,-668.45,56.4,m6
40800,57800,-668.64,54.6,m6
