X,Y,Z,formation
48500,70500,-587.4,m6
26500,72500,-673.8,m6
4500,74500,-724.4,m6
50500,76000,-527,m6
28500,78000,-629.2,m6
6500,80000,-659.6,m6
52500,81500,-466.4,m6
30500,83500,-566.9,m6
8500,85500,-594,m6
54500,87000,-391.3,m6
32500,89000,-513.1,m6
10500,91000,-536,m6
56500,92500,-292.1,m6
34500,94500,-386.2,m6
12500,96500,-437.9,m6
58500,98000,-224.1,m6
36500,100000,-320.7,m6
14500,102000,-383.6,m6
60500,103500,-195,m6
38500,105500,-288.2,m6
16500,107500,-341.3,m6
62500,109000,-192.9,m6
40500,111000,-264.3,m6
18500,113000,-297.5,m6
64500,114500,-189.6,m6
42500,116500,-235.7,m6
20500,118500,-270.6,m6
66500,120000,-176.6,m6
44500,122000,-194,m6
22500,124000,-235.9,m6
68500,125500,-165.6,m6
46500,127500,-162.5,m6
24500,129500,-202.3,m6
2500,131500,-207.4,m6
48500,133000,-140.3,m6
46500,2500,-1226.3,o1
24500,4500,-1476,o1
2500,6500,-1635.5,o1
48500,8000,-1206.1,o1
26500,10000,-1428.1,o1
4500,12000,-1573.8,o1
50500,13500,-1194.3,o1
28500,15500,-1395.3,o1
6500,17500,-1512.7,o1
52500,19000,-1171.9,o1
30500,21000,-1315.1,o1
8500,23000,-1436.5,o1
54500,24500,-1146.4,o1
32500,26500,-1272.1,o1
10500,28500,-1371.5,o1
56500,30000,-1126.4,o1
34500,32000,-1212.8,o1
12500,34000,-1319.3,o1
58500,35500,-1101.2,o1
36500,37500,-1172.1,o1
14500,39500,-1253.1,o1
60500,41000,-1026.2,o1
38500,43000,-1137.5,o1
16500,45000,-1191.5,o1
62500,46500,-926.3,o1
40500,48500,-1069.1,o1
18500,50500,-1087.2,o1
64500,52000,-839.9,o1
42500,54000,-932.1,o1
20500,56000,-950.7,o1
66500,57500,-780.7,o1
44500,59500,-845.4,o1
22500,61500,-850.7,o1
68500,63000,-719.8,o1
46500,65000,-751.9,o1
24500,67000,-795.1,o1
2500,69000,-914.6,o1
48500,70500,-696.7,o1
26500,72500,-748.6,o1
4500,74500,-871.8,o1
50500,76000,-645.2,o1
28500,78000,-686.8,o1
6500,80000,-786.8,o1
52500,81500,-590.8,o1
30500,83500,-623.7,o1
8500,85500,-693.2,o1
54500,87000,-494.5,o1
32500,89000,-561.8,o1
10500,91000,-622,o1
56500,92500,-387,o1
34500,94500,-490.9,o1
12500,96500,-545.5,o1
58500,98000,-320.2,o1
36500,100000,-411.6,o1
14500,102000,-468.9,o1
