X,Y,Z,Porosity,Attr,AI,Sequence,Well
41600,74700,-277.19,52.1,0.6324132084123113,,m54,m27
41600,74700,-278.06,48.2,0.6121314859850671,2893044.0,m54,m27
41600,74700,-279.55,53.2,0.5773961222878327,2958336.0,m54,m27
41600,74700,-281.24,53.2,0.5907215850597181,3067584.0,m54,m27
41600,74700,-282.77,55.2,0.6128779878641957,2820018.0,m54,m27
41600,74700,-283.68,56.8,0.6484088030652119,2763180.0,m54,m27
41600,74700,-285.2,53.0,0.7077569779064674,2999916.0,m54,m27
41600,74700,-286.96,52.0,0.7483682622658844,2954224.0,m54,m27
41600,74700,-288.48,56.7,0.7778781609330329,2916447.0,m54,m27
41600,74700,-289.76,54.4,0.7896723560103867,2858914.5,m54,m27
41600,74700,-291.14,58.7,0.8023879725781591,2802427.0,m54,m27
41600,74700,-293.16,58.5,0.8572666218095197,2895025.0,m54,m27
41600,74700,-294.66,49.0,0.8657918979001565,3111820.0,m54,m27
41600,74700,-295.86,45.7,0.8353889784699634,3298765.0,m54,m27
41600,74700,-297.36,46.9,0.782844695549194,3296689.0,m54,m27
41600,74700,-299.26,53.0,0.672091010736838,3001344.0,m54,m27
41600,74700,-300.77,50.1,0.6116256611197878,3190744.0,m54,m27
41600,74700,-301.65,51.7,0.5852057779553037,,m54,m27
41600,74700,-301.96,48.6,0.575898773658724,,m54,m27
41600,74700,-303.44,48.3,0.5537290040237878,3293510.0,m54,m27
41600,74700,-304.73,47.1,0.5523833465594787,,m54,m27
41600,74700,-305.25,52.9,0.5518409109924705,3054216.0,m54,m27
41600,74700,-306.86,54.7,0.6079626671109615,3064516.0,m58,m27
41600,74700,-308.05,56.4,0.6591566620963495,2979880.0,m58,m27
41600,74700,-309.65,47.1,0.7331238729178953,3178532.0,m58,m27
41600,74700,-311.53,45.5,0.814495021395632,3228115.0000000154,m58,m27
41600,74700,-313.03,46.9,0.8368962720111996,3167248.500000036,m58,m27
41600,74700,-314.16,50.4,0.8537718808082614,3049983.5000000056,m58,m27
41600,74700,-315.71,53.2,0.8322773414630438,2993900.0,m58,m27
41600,74700,-316.42,49.0,0.8221957150734399,3282216.0,m58,m27
41600,74700,-317.47,49.0,0.8005332626466071,3301770.499999928,m58,m27
41600,74700,-318.7,49.1,0.7630941055670271,,m58,m27
41600,74700,-320.29,50.2,0.7258833376165832,3088679.0,m58,m27
41600,74700,-321.72,52.4,0.7268679575606473,3244745.499999803,m58,m27
41600,74700,-323.22,49.5,0.7423170661645403,3135339.0,m58,m27
41600,74700,-323.54,54.6,0.7537102916724757,2988024.0,m58,m27
41600,74700,-325.04,47.5,0.8071160362409243,3197134.0,m58,m27
41600,74700,-326.04,48.6,0.8311654727270735,,m58,m27
41600,74700,-327.08,47.2,0.8344781486941402,,m58,m27
41600,74700,-328.79,43.9,0.8308419522050425,3169812.0,m58,m27
41600,74700,-329.36,48.9,0.8101408834162079,3345024.0,m58,m27
41600,74700,-330.9,47.0,0.7542116800218133,3645292.0,m58,m27
41600,74700,-333.0,43.2,0.6916778664853569,,m58,m27
41600,74700,-334.34,43.9,0.6553974763879965,3814640.0,m58,m27
