X,Y,Z,formation
50500,83500,-1087.2,o1
4500,82000,-839.9,o1
26500,80000,-932.1,o1
48500,78000,-950.7,o1
2500,76500,-780.7,o1
24500,74500,-845.4,o1
46500,72500,-850.7,o1
500,71000,-719.8,o1
22500,69000,-751.9,o1
44500,67000,-795.1,o1
66500,65000,-914.6,o1
20500,63500,-696.7,o1
42500,61500,-748.6,o1
64500,59500,-871.8,o1
18500,58000,-645.2,o1
40500,56000,-686.8,o1
62500,54000,-786.8,o1
16500,52500,-590.8,o1
38500,50500,-623.7,o1
60500,48500,-693.2,o1
14500,47000,-494.5,o1
36500,45000,-561.8,o1
58500,43000,-622,o1
12500,41500,-387,o1
34500,39500,-490.9,o1
56500,37500,-545.5,o1
10500,36000,-320.2,o1
32500,34000,-411.6,o1
54500,32000,-468.9,o1
8500,30500,-283.6,o1
30500,28500,-338.2,o1
52500,26500,-412.4,o1
6500,25000,-247.4,o1
28500,23000,-288,o1
50500,21000,-334.4,o1
4500,19500,-199.2,o1
26500,17500,-238.5,o1
48500,15500,-275.9,o1
2500,14000,-176.6,o1
24500,12000,-194,o1
46500,10000,-235.9,o1
500,8500,-165.6,o1
22500,6500,-162.5,o1
44500,4500,-202.3,o1
66500,2500,-208.5,o1
20500,1000,-140.3,o1
